project,Kind,Name,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxEssentialKnots,MaxNesting,MinEssentialKnots,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,is_lm
ant,Public Method,org.apache.tools.ant.taskdefs.optional.junit.XMLJUnitResultFormatter.startTestSuite,12.0,32.0,2.0,23.0,9.0,19.0,7.0,15.0,3.0,0.0,16.0,19.0,8.0,11.0,4.0,4.0,4.0,1.0,0.0,0.0,2.0,0.0,0.3,4,4,4,1,False
ant,Public Method,org.apache.tools.ant.taskdefs.LoadProperties.getClasspath,0.0,7.0,0.0,3.0,1.0,1.0,4.0,3.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.33,1,1,1,1,False
ant,Public Method,org.apache.tools.ant.types.resources.BaseResourceCollectionContainer.setCache,6.0,7.0,0.0,3.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.33,1,1,1,1,False
ant,Private Method,org.apache.tools.ant.taskdefs.optional.NetRexxC.copyFilesToDestination,4.0,24.0,4.0,19.0,6.0,14.0,1.0,10.0,4.0,1.0,7.0,11.0,5.0,6.0,5.0,5.0,5.0,1.0,1.0,0.0,3.0,0.0,0.05,5,5,5,1,False
ant,Protected Method,org.apache.tools.ant.taskdefs.ExecuteOn.runParallel,9.0,58.0,2.0,43.0,12.0,34.0,14.0,13.0,7.0,1.0,27.0,33.0,10.0,23.0,6.0,6.0,8.0,1.0,1.0,0.0,3.0,0.0,0.33,6,6,8,1,False
ant,Private Method,org.apache.tools.ant.taskdefs.XSLTProcess.loadClass,3.0,16.0,0.0,7.0,1.0,4.0,9.0,3.0,2.0,0.0,3.0,5.0,1.0,4.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,1.29,2,2,2,1,False
ant,Public Method,org.apache.tools.ant.types.CommandlineJava.SysProperties.size,3.0,9.0,0.0,4.0,2.0,2.0,5.0,3.0,1.0,0.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.25,1,1,1,1,False
ant,Private Method,org.apache.tools.bzip2.CBZip2OutputStream.blockSort,8.0,25.0,3.0,21.0,2.0,16.0,1.0,7.0,6.0,1.0,15.0,19.0,3.0,16.0,4.0,4.0,5.0,3.0,2.0,2.0,2.0,2.0,0.05,4,4,5,3,False
ant,Public Method,org.apache.tools.ant.taskdefs.WhichResource.setClasspath,2.0,11.0,0.0,7.0,1.0,4.0,4.0,2.0,2.0,0.0,2.0,4.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.57,2,2,2,1,False
ant,Abstract Method,org.apache.tools.ant.types.selectors.SelectorContainer.addSize,0.0,5.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0,0,0,0,False
ant,Public Constructor,org.apache.tools.ant.taskdefs.optional.depend.constantpool.NameAndTypeCPInfo.NameAndTypeCPInfo,2.0,4.0,0.0,3.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.33,1,1,1,1,False
ant,Public Method,org.apache.tools.ant.taskdefs.optional.jsp.JspC.getPackage,2.0,7.0,0.0,3.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.33,1,1,1,1,False
ant,Public Method,org.apache.tools.ant.taskdefs.Javadoc.createDoclet,1.0,11.0,0.0,6.0,1.0,3.0,5.0,2.0,2.0,0.0,2.0,4.0,1.0,3.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.83,2,2,2,1,False
ant,Protected Method,org.apache.tools.ant.taskdefs.optional.windows.Attrib.isValidOs,1.0,9.0,0.0,4.0,1.0,2.0,5.0,5.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,1.25,2,2,3,1,False
ant,Public Method,org.apache.tools.ant.IntrospectionHelper.getAttributeMethod,4.0,20.0,0.0,9.0,2.0,6.0,11.0,4.0,2.0,0.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,1.22,2,2,2,1,False
ant,Public Method,org.apache.tools.ant.taskdefs.PathConvert.isReference,4.0,7.0,0.0,3.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.33,1,1,1,1,False
ant,Private Static Method,org.apache.tools.ant.util.DateUtils.createDateFormat,2.0,12.0,0.0,7.0,3.0,5.0,5.0,4.0,1.0,0.0,5.0,6.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.71,1,1,1,1,False
ant,Public Method,org.apache.tools.ant.taskdefs.CloseResources.add,2.0,3.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,False
ant,Public Method,org.apache.tools.ant.taskdefs.GenerateKey.DistinguishedName.toString,1.0,26.0,3.0,16.0,5.0,12.0,7.0,8.0,3.0,0.0,12.0,15.0,6.0,9.0,3.0,3.0,3.0,1.0,0.0,0.0,2.0,0.0,0.44,3,3,3,1,False
ant,Public Method,org.apache.tools.ant.types.resources.Files.size,1.0,12.0,0.0,8.0,1.0,5.0,4.0,7.0,2.0,0.0,4.0,6.0,1.0,5.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.5,2,2,2,1,False
ant,Private Method,org.apache.tools.ant.taskdefs.optional.ejb.IPlanetEjbcTask.checkConfiguration,5.0,46.0,4.0,37.0,15.0,28.0,5.0,5.0,128.0,2.0,14.0,22.0,8.0,14.0,8.0,8.0,12.0,1.0,0.0,0.0,1.0,0.0,0.14,8,8,12,1,False
ant,Public Method,org.apache.tools.ant.AntTypeDefinition.innerGetTypeClass,6.0,18.0,0.0,11.0,1.0,7.0,7.0,4.0,3.0,0.0,4.0,7.0,1.0,6.0,3.0,3.0,3.0,1.0,2.0,0.0,1.0,0.0,0.64,3,3,3,1,False
ant,Public Static Method,org.apache.tools.ant.types.Commandline.quoteArgument,3.0,28.0,0.0,16.0,1.0,12.0,12.0,3.0,4.0,1.0,4.0,8.0,1.0,7.0,4.0,4.0,7.0,4.0,7.0,4.0,2.0,4.0,0.75,4,4,7,4,False
ant,Public Method,org.apache.tools.ant.taskdefs.optional.clearcase.CCMklbtype.getComment,3.0,8.0,0.0,3.0,1.0,1.0,5.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.67,1,1,1,1,False
ant,Public Method,org.apache.tools.ant.taskdefs.Javadoc.ExtensionInfo.setPathRef,1.0,8.0,0.0,3.0,1.0,1.0,5.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.67,1,1,1,1,False
ant,Public Method,org.apache.tools.ant.taskdefs.optional.XMLValidateTask.setClassName,1.0,14.0,0.0,3.0,1.0,1.0,11.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.67,1,1,1,1,False
ant,Public Method,org.apache.tools.ant.taskdefs.optional.junit.JUnit4TestMethodAdapter.countTestCases,1.0,3.0,0.0,3.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,False
ant,Public Method,org.apache.tools.ant.taskdefs.optional.sound.SoundTask.BuildAlert.setSource,1.0,8.0,0.0,3.0,1.0,1.0,5.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.67,1,1,1,1,False
ant,Public Method,org.apache.tools.ant.taskdefs.Execute.WinNTCommandLauncher.exec,5.0,37.0,1.0,21.0,5.0,16.0,15.0,5.0,3.0,0.0,13.0,16.0,4.0,12.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,0.71,3,3,3,3,False
ant,Public Method,org.apache.tools.ant.taskdefs.MacroInstance.addTask,2.0,8.0,0.0,3.0,1.0,1.0,5.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.67,1,1,1,1,False
ant,Public Method,org.apache.tools.ant.taskdefs.optional.javacc.JJTree.setMulti,3.0,7.0,0.0,3.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.33,2,2,2,1,False
ant,Private Static Method,org.apache.tools.ant.Diagnostics.doReportParserInfo,2.0,11.0,0.0,7.0,3.0,5.0,4.0,5.0,1.0,0.0,4.0,5.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.57,1,1,1,1,False
ant,Public Method,org.apache.tools.ant.taskdefs.Property.getPrefixValues,2.0,9.0,0.0,3.0,1.0,1.0,6.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1,1,1,1,False
ant,Public Method,org.apache.tools.ant.types.EnumeratedAttribute.containsValue,1.0,8.0,0.0,3.0,1.0,1.0,5.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.67,1,1,1,1,False
ant,Public Method,org.apache.tools.ant.taskdefs.optional.clearcase.CCCheckout.getOut,3.0,8.0,0.0,3.0,1.0,1.0,5.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.67,1,1,1,1,False
ant,Method,org.apache.tools.ant.taskdefs.optional.ejb.JonasDeploymentTool.getGenicClassName,6.0,61.0,9.0,45.0,2.0,38.0,7.0,7.0,5.0,1.0,17.0,23.0,2.0,21.0,5.0,5.0,5.0,4.0,3.0,3.0,2.0,3.0,0.16,5,5,5,4,False
ant,Protected Static Method,org.apache.tools.ant.taskdefs.JDBCTask.getLoaderMap,1.0,7.0,0.0,3.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.33,1,1,1,1,False
ant,Private Method,org.apache.tools.ant.taskdefs.optional.net.FTP.findFileName,5.0,33.0,0.0,30.0,7.0,22.0,3.0,8.0,15.0,1.0,16.0,23.0,8.0,15.0,7.0,7.0,8.0,6.0,6.0,6.0,4.0,6.0,0.1,7,7,8,6,False
ant,Public Method,org.apache.tools.ant.taskdefs.optional.sound.SoundTask.BuildAlert.getSource,4.0,34.0,0.0,26.0,8.0,19.0,8.0,12.0,8.0,1.0,15.0,21.0,9.0,12.0,6.0,6.0,6.0,1.0,1.0,0.0,4.0,0.0,0.31,6,6,6,1,False
ant,Constructor,org.apache.tools.ant.Project.AntRefTable.AntRefTable,0.0,3.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,False
ant,Private Method,org.apache.tools.ant.types.optional.ScriptFilter.init,3.0,11.0,0.0,6.0,1.0,3.0,5.0,2.0,2.0,0.0,2.0,4.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.83,2,2,2,1,False
ant,Private Method,org.apache.tools.ant.taskdefs.optional.unix.Symlink.writePropertyFile,5.0,21.0,0.0,13.0,3.0,9.0,8.0,3.0,2.0,0.0,5.0,7.0,2.0,5.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.62,2,2,2,1,False
ant,Public Method,org.apache.tools.ant.types.resolver.ApacheCatalog.addEntry,5.0,49.0,9.0,23.0,6.0,18.0,17.0,8.0,5.0,1.0,10.0,15.0,6.0,9.0,5.0,5.0,5.0,1.0,3.0,0.0,2.0,0.0,0.74,5,5,5,1,False
ant,Public Method,org.apache.tools.ant.taskdefs.optional.NetRexxC.setDestDir,1.0,8.0,0.0,3.0,1.0,1.0,5.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.67,1,1,1,1,False
ant,Public Method,org.apache.tools.ant.taskdefs.optional.vss.MSVSSADD.setRecursive,1.0,8.0,0.0,3.0,1.0,1.0,5.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.67,1,1,1,1,False
ant,Public Method,org.apache.tools.ant.filters.SortFilter.read,3.0,55.0,2.0,35.0,2.0,26.0,18.0,16.0,28.0,1.0,18.0,26.0,2.0,24.0,8.0,8.0,8.0,3.0,5.0,3.0,3.0,3.0,0.51,8,8,8,3,False
ant,Public Method,org.apache.tools.ant.taskdefs.SubAnt.setInheritrefs,1.0,9.0,0.0,3.0,1.0,1.0,6.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1,1,1,1,False
ant,Public Method,org.apache.tools.ant.util.StringTokenizer.getToken,6.0,56.0,0.0,49.0,7.0,38.0,7.0,8.0,30.0,1.0,24.0,34.0,7.0,27.0,10.0,10.0,10.0,7.0,13.0,12.0,5.0,11.0,0.14,10,10,10,7,False
ant,Private Method,org.apache.tools.ant.IntrospectionHelper.createTopLevel,4.0,13.0,0.0,13.0,5.0,8.0,0.0,5.0,3.0,0.0,6.0,9.0,4.0,5.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,0.0,3,3,3,3,False
ant,Public Method,org.apache.tools.ant.taskdefs.optional.j2ee.AbstractHotDeploymentTool.setServer,1.0,7.0,0.0,3.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.33,1,1,1,1,False
ant,Public Method,org.apache.tools.ant.taskdefs.optional.ejb.GenericDeploymentTool.setDestdir,2.0,7.0,0.0,3.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.33,1,1,1,1,False
ant,Protected Method,org.apache.tools.ant.taskdefs.optional.Cab.createListFile,3.0,29.0,3.0,16.0,5.0,11.0,10.0,8.0,2.0,0.0,10.0,13.0,5.0,8.0,2.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,0.63,2,2,2,1,False
ant,Public Method,org.apache.tools.ant.taskdefs.optional.Javah.setBootclasspath,2.0,11.0,0.0,7.0,1.0,4.0,4.0,2.0,2.0,0.0,2.0,4.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.57,2,2,2,1,False
ant,Public Method,org.apache.tools.ant.taskdefs.FixCRLF.OneLiner.BufferLine.incColumn,1.0,3.0,0.0,3.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,False
ant,Public Method,org.apache.tools.ant.taskdefs.optional.ejb.BorlandGenerateClient.setClientjar,1.0,7.0,0.0,3.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.33,1,1,1,1,False
ant,Public Method,org.apache.tools.ant.taskdefs.Javac.setExecutable,1.0,10.0,0.0,3.0,1.0,1.0,7.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.33,1,1,1,1,False
ant,Public Method,org.apache.tools.ant.property.LocalProperties.exitScope,3.0,4.0,0.0,3.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.33,1,1,1,1,False
ant,Public Static Method,org.apache.tools.ant.taskdefs.optional.junit.JUnitTestRunner.main,20.0,170.0,7.0,129.0,29.0,109.0,34.0,33.0,1800.0,3.0,71.0,96.0,29.0,67.0,26.0,26.0,30.0,1.0,16.0,0.0,6.0,0.0,0.26,26,26,30,1,False
ant,Public Method,org.apache.tools.ant.taskdefs.CallTarget.handleFlush,2.0,15.0,0.0,7.0,1.0,4.0,8.0,2.0,2.0,0.0,2.0,4.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,1.14,2,2,2,1,False
ant,Public Method,org.apache.tools.ant.taskdefs.Java.setClasspathRef,1.0,8.0,0.0,3.0,1.0,1.0,5.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.67,1,1,1,1,False
ant,Public Method,org.apache.tools.ant.taskdefs.optional.extension.JarLibManifestTask.addConfiguredAttribute,2.0,8.0,0.0,3.0,1.0,1.0,5.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.67,1,1,1,1,False
ant,Public Method,org.apache.tools.ant.ComponentHelper.diagnoseCreationFailure,12.0,138.0,3.0,120.0,21.0,105.0,15.0,19.0,1348.0,3.0,75.0,87.0,21.0,66.0,17.0,17.0,17.0,1.0,23.0,0.0,3.0,0.0,0.13,17,17,17,1,True
